官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: sg_init_table 0xf888ca21
qca_cld3_wlan: crypto_aead_setauthsize 0xd4117430
qca_cld3_wlan: crypto_aead_setkey 0x60d18bba
qca_cld3_wlan: crypto_alloc_aead 0xbb45fac5
qca_cld3_wlan: crypto_skcipher_decrypt 0x44ef9ba8
qca_cld3_wlan: crypto_skcipher_encrypt 0x3137f6da
qca_cld3_wlan: sg_init_one 0xb320cc0e
qca_cld3_wlan: crypto_alloc_skcipher 0x6ac166c9
qca_cld3_wlan: crypto_shash_final 0xd120d5ad
qca_cld3_wlan: crypto_shash_update 0x7e4d34fd
qca_cld3_wlan: crypto_shash_setkey 0x95b80992
qca_cld3_wlan: crypto_alloc_shash 0x0d24e897
qca_cld3_wlan: panic_notifier_list 0x07ceeac9
qca_cld3_wlan: skb_push 0x8f715df4
qca_cld3_wlan: complete_and_exit 0x8133c67d
qca_cld3_wlan: msleep 0xf9a482f9
qca_cld3_wlan: finish_wait 0x92540fbf
qca_cld3_wlan: schedule 0x01000e51
qca_cld3_wlan: prepare_to_wait_event 0x8c26d495
qca_cld3_wlan: init_wait_entry 0xfe487975
qca_cld3_wlan: ___ratelimit 0x1d24c881
qca_cld3_wlan: _raw_spin_unlock_irqrestore 0x3812050a
qca_cld3_wlan: wait_for_completion 0x6de13801
qca_cld3_wlan: vfree 0x999e8297
qca_cld3_wlan: wake_up_process 0x2a260bfb
qca_cld3_wlan: kthread_create_on_node 0xd5712776
qca_cld3_wlan: vmalloc 0xd6ee688f
qca_cld3_wlan: atomic_notifier_chain_unregister 0x7181db30
qca_cld3_wlan: atomic_notifier_chain_register 0x2b9997fb
qca_cld3_wlan: _raw_spin_lock_irqsave 0x51760917
qca_cld3_wlan: __nlmsg_put 0x4aec1729
qca_cld3_wlan: __netdev_alloc_skb 0x81a8f3f8
qca_cld3_wlan: skb_trim 0xa915448b
qca_cld3_wlan: netlink_broadcast 0x71a14bef
qca_cld3_wlan: consume_skb 0x8aa18b87
qca_cld3_wlan: genlmsg_put 0x5c1e58bd
qca_cld3_wlan: cld80211_get_genl_family 0x3152ce61
qca_cld3_wlan: __dev_kfree_skb_any 0x7584c9f9
qca_cld3_wlan: pskb_expand_head 0x8a7f255d
qca_cld3_wlan: cnss_utils_wlan_set_dfs_nol 0x6b31783e
qca_cld3_wlan: cnss_utils_wlan_get_dfs_nol 0x2e80342d
qca_cld3_wlan: del_timer 0xaa4008af
qca_cld3_wlan: strnlen 0xa916b694
qca_cld3_wlan: mod_timer 0x72cd0f7f
qca_cld3_wlan: skb_copy 0x239c23ad
qca_cld3_wlan: init_timer_key 0x79cf5987
qca_cld3_wlan: del_timer_sync 0xf15e728e
qca_cld3_wlan: kernel_kobj 0x7da65f77
qca_cld3_wlan: device_remove_file 0x5cc090d0
qca_cld3_wlan: device_create_file 0xf7cac473
qca_cld3_wlan: sysfs_remove_file_ns 0xfbf72059
qca_cld3_wlan: strsep 0x85df9b6c
qca_cld3_wlan: sysfs_create_file_ns 0x814a86b9
qca_cld3_wlan: kobject_put 0x07b100f0
qca_cld3_wlan: kobject_create_and_add 0x73b6f53b
qca_cld3_wlan: cfg80211_calculate_bitrate 0x15a37cf3
qca_cld3_wlan: unregister_netevent_notifier 0x4fe1eddf
qca_cld3_wlan: register_netevent_notifier 0x4761f17c
qca_cld3_wlan: print_hex_dump 0x167c5967
qca_cld3_wlan: strlcat 0xf9c0b663
qca_cld3_wlan: ipa_get_lan_rx_napi 0x930dacc2
qca_cld3_wlan: __cpu_possible_mask 0xde7ece30
qca_cld3_wlan: __sw_hweight64 0x9f46ced8
qca_cld3_wlan: kmalloc_caches 0x91ea9a65
qca_cld3_wlan: kmem_cache_alloc_trace 0x4a2650f5
qca_cld3_wlan: kfree 0x037a0cba
qca_cld3_wlan: PDE_DATA 0xfa382a32
qca_cld3_wlan: remove_proc_entry 0x2fabddd2
qca_cld3_wlan: proc_create_data 0x7c782ef9
qca_cld3_wlan: proc_mkdir 0xecb53c8a
qca_cld3_wlan: deregister_cld_cmd_cb 0x1a4d338d
qca_cld3_wlan: register_cld_cmd_cb 0x14d2e4b6
qca_cld3_wlan: vprintk 0x715a5ed0
qca_cld3_wlan: capable 0xc6cbbc89
qca_cld3_wlan: __list_add_valid 0x68f31cbd
qca_cld3_wlan: __list_del_entry_valid 0xe1537255
qca_cld3_wlan: netif_tx_wake_queue 0x0b657bc7
qca_cld3_wlan: _raw_spin_trylock 0x8c3253ec
qca_cld3_wlan: __local_bh_enable_ip 0x3c3fce39
qca_cld3_wlan: netif_receive_skb_list 0x6b8bf149
qca_cld3_wlan: napi_gro_flush 0xaaf00f8b
qca_cld3_wlan: napi_gro_receive 0xbc8c00e7
qca_cld3_wlan: netif_tx_stop_all_queues 0x9f2133dc
qca_cld3_wlan: netif_carrier_off 0x2ff8818e
qca_cld3_wlan: netif_carrier_on 0xd6751faa
qca_cld3_wlan: netif_receive_skb 0x69413505
qca_cld3_wlan: netif_rx_ni 0x0994f7a7
